2023-08-25 14:08:10.994138,1692972490.9941528,obukhovkd,883870580,16215
2023-08-25 14:08:20.150057,1692972500.1500628,JotaroArs,1049484194,16215
2023-08-25 14:08:28.177017,1692972508.1770225,artemdolgih,1880073920,16215
2023-08-25 14:09:22.509853,1692972562.5098665,avosthh,611932424,16215
2023-08-25 14:11:29.606795,1692972689.606807,alnow0,983416579,16215
2023-08-25 14:12:13.649635,1692972733.64965,economicsmath,1933227590,16215
2023-08-25 14:18:03.357623,1692973083.3576345,aalsu9,820538511,16215
2023-08-25 14:18:14.528308,1692973094.5283215,kseniaplatonova713,826798190,16215
2023-08-25 14:19:22.254522,1692973162.2545314,AAntoxa_kartoxa,879485167,16215
2023-08-25 14:19:29.822560,1692973169.8225744,dm1trykrylov,430831182,16215
2023-08-25 14:19:34.908874,1692973174.9088805,gregorykrylov,5009611754,16215
2023-08-25 14:26:25.058713,1692973585.0587265,gsophrgepous,1100063418,16215
2023-08-25 14:32:09.197958,1692973929.1979709,lildronny,910879099,16215
2023-08-25 14:32:17.073040,1692973937.0730474,semen03082007,1470591234,16215
2023-08-25 14:32:41.501131,1692973961.5011458,kutep0v,1033790453,16215
2023-08-25 14:36:47.082060,1692974207.0820746,zhivetina,1098951820,16215
